整理ID,カート番号,発送,出荷日,発注日時,発注者,発送先,請求先,商品コード,商品名,単価(税別),入数,受注数,単位,合計金額(税別),合計金額(税込),送料(税別),発送状況,納期,発注者確認,カテゴリー
1180382,137563,発送完了,未設定,2025-08-28 11:41,"【フォロー】achieve（アミューズ）","MEGAドン・キホーテ飯塚店内ゲームコーナー",【フォロー】株式会社change（旧achieve）,RR533,"  携帯ゲーム機 GAME Ark S mini4 96入＠620(ハーフ/クォーター+1000円)【箱サイズ:約9.7cm カラーパッケージ入】",59480,1,0.5,箱,29740,32714,1000,"8/29発送完了",2025年12月 即納,納品前,即納,小型機用,電子商品,クォーター,ラクチャレW景品（下部）,箱物系,送料無料（ハーフ別途料金）北海道・沖縄・離島除く,明日出荷（土日祝除く）,
1173492,136973,発送完了,未設定,2025-08-21 23:09,"【フォロー】achieve（アミューズ）","スポガ久留米 卓球ゲームコーナー",【フォロー】株式会社change（旧achieve）,RC988,"ぶるぶる電ブルBC  Cute3 180入 @222(ハーフ/クォーター+1000円)【箱サイズ:3x3x11cm カラーパッケージ入】",40000,1,3,箱,120000,132000,0,"8/22発送完了",2026年03月 即納,納品前,即納,電子商品,クォーター,ラクチャレW景品（下部）,箱物系,送料無料（ハーフ別途料金）北海道・沖縄・離島除く,明日出荷（土日祝除く）,
1171696,136762,発送完了,2025-08-21,2025-08-20 12:01,"【フォロー】achieve（アミューズ）","MEGAドン・キホーテ飯塚店内ゲームコーナー",【フォロー】株式会社change（旧achieve）,HH443,"お菓子ソックスランダムアソート[紙ヘッダー][商品サイズ22～24cm]",220,216,1,箱,47520,52272,0,"8/21発送完了",2026年03月 上旬,納品前,小型機用,ラクチャレW景品（下部）,送料無料（ハーフ別途料金）北海道・沖縄・離島除く,
1171692,136762,発送完了,2025-08-20,2025-08-20 12:01,"【フォロー】achieve（アミューズ）","MEGAドン・キホーテ飯塚店内ゲームコーナー",【フォロー】株式会社change（旧achieve）,HC712,"ミニピストルライトキーホルダー[個包装PP袋][商品サイズ：1.8*4*5cm]",33,960,0.5,箱,15840,17424,1000,"8/20発送完了",2026年03月 上旬,納品前,小型機用,ラクチャレキュート景品,ラクチャレW景品（下部）,送料無料（ハーフ別途料金）北海道・沖縄・離島除く,
1171673,136762,発送完了,2025-08-21,2025-08-20 12:01,"【フォロー】achieve（アミューズ）","MEGAドン・キホーテ飯塚店内ゲームコーナー",【フォロー】株式会社change（旧achieve）,SW331,"ハイグレードメタルスピナー【商品サイズ：約6cm】",140,288,1,箱,40320,44352,0,"発注受付",2026年03月 即納,納品前,即納,小型機用,ラクチャレキュート景品,送料無料（ハーフ別途料金）北海道・沖縄・離島除く,明日出荷（土日祝除く）,
1170822,136697,発送完了,未設定,2025-08-20 11:28,"【フォロー】achieve（アミューズ）","MEGAドン・キホーテ飯塚店内ゲームコーナー",【フォロー】株式会社change（旧achieve）,RI737,"  ミニミニ NEWクレーンアームキーホルダー2 320入＠182(ハーフ/クォーター+1000円)【サイズ:約6cm 個別袋入 】",58100,1,1,箱,58100,63910,0,"8/21発送完了",2025年09月 即納,納品前,即納,小型機用,クォーター,ラクチャレキュート景品,送料無料（ハーフ別途料金）北海道・沖縄・離島除く,明日出荷（土日祝除く）,
1170823,136697,発送完了,未設定,2025-08-20 11:28,"【フォロー】achieve（アミューズ）","MEGAドン・キホーテ飯塚店内ゲームコーナー",【フォロー】株式会社change（旧achieve）,RC275," ミニチュアハーモニカ2  960入@48.9(ハーフ/クォーター+1000円)【商品サイズ:1.4x1x3.5cm PP袋入】",47000,1,0.5,箱,23500,25850,1000,"8/21発送完了",2025年08月 即納,納品前,即納,小型機用,クォーター,ラクチャレキュート景品,送料無料（ハーフ別途料金）北海道・沖縄・離島除く,10円キャッチャー,明日出荷（土日祝除く）,
1170798,136691,発送完了,未設定,2025-08-19 17:18,"【フォロー】achieve（アミューズ）","MEGAドン・キホーテ飯塚店内ゲームコーナー",【フォロー】株式会社change（旧achieve）,SG270,"放送禁止！？音声ボタン 240入(ハーフ/クォーター+1000円)【サイズ:約7cm カラーBOX入】",50000,1,1,箱,50000,55000,0,"8/20発送完了",2025年09月 即納,納品前,即納,小型機用,電子商品,クォーター,ラクチャレW景品（下部）,箱物系,送料無料（ハーフ別途料金）北海道・沖縄・離島除く,明日出荷（土日祝除く）,
1170802,136691,発送完了,2025-08-20,2025-08-19 17:18,"【フォロー】achieve（アミューズ）","MEGAドン・キホーテ飯塚店内ゲームコーナー",【フォロー】株式会社change（旧achieve）,SJ961,"超軽量　充電式COB+3LEDミニフラッシュライト　約10.3*4.3*4.3ｃｍ",300,100,1,箱,30000,33000,0,"発注受付",2025年08月 即納です,納品前,オススメ商品,小型機用,電子商品,送料無料（ハーフ別途料金）北海道・沖縄・離島除く,明日出荷（土日祝除く）,
1169478,136504,発送完了,未設定,2025-08-18 23:11,"【フォロー】achieve（アミューズ）","スポガ久留米 卓球ゲームコーナー",【フォロー】株式会社change（旧achieve）,RR736,"ミニNEW クレーンアームキーホルダー２ 192入＠273(ハーフ/クォーター+1000円)【サイズ:MAX8.2cm PP袋入 】",52500,1,1,箱,52500,57750,0,"8/19発送完了",2026年03月 即納,納品前,即納,小型機用,クォーター,ラクチャレW景品（下部）,送料無料（ハーフ別途料金）北海道・沖縄・離島除く,明日出荷（土日祝除く）,
1169475,136504,発送完了,未設定,2025-08-18 23:11,"【フォロー】achieve（アミューズ）","スポガ久留米 卓球ゲームコーナー",【フォロー】株式会社change（旧achieve）,JX225,"スロットマシンmini 6colors 432入＠141(ハーフ/クォーター+1000円)【サイズ:約5.5cm 個別PP袋入】",61000,1,0.5,箱,30500,33550,1000,"8/19発送完了",2025年09月 即納,納品前,即納,小型機用,クォーター,ラクチャレキュート景品,送料無料（ハーフ別途料金）北海道・沖縄・離島除く,明日出荷（土日祝除く）,
1167703,136190,発送完了,2025-08-18,2025-08-17 13:02,"【フォロー】achieve（アミューズ）","スポガ久留米 卓球ゲームコーナー",【フォロー】株式会社change（旧achieve）,SW489,"即納　ケイカンパニー　サンリオキャラクターズ　リボンチャーム　500円",300,20,1,袋,6000,6600,480,"￥ウ",2025年08月 ,納品前,ガチャ景品,超即納（おもちゃ）,超即納（ガチャ）,
