整理ID,カート番号,発送,出荷日,発注日時,発注者,発送先,請求先,商品コード,商品名,単価(税別),入数,受注数,単位,合計金額(税別),合計金額(税込),送料(税別),発送状況,納期,発注者確認,カテゴリー
897439,108917,発送完了,未設定,2024-12-26 12:40,"【フォロー】achieve（アミューズ）","MEGAドン・キホーテ飯塚店内ゲームコーナー",【フォロー】株式会社change（旧achieve）,JH366,"ﾋﾟｸｾﾙ風ｻﾝｸﾞﾗｽ15.5cm ",65,480,0.5,箱,15600,17160,800,"12/26出荷完了",2024年07月 末,納品前,オススメ商品,SNS・流行り物,
892382,107614,発送完了,未設定,2024-12-18 09:00,"【フォロー】achieve（アミューズ）","MEGAドン・キホーテ飯塚店内ゲームコーナー",【フォロー】株式会社change（旧achieve）,JG977,"【価格改定】あんこ袋 1,000入(送料＋1000円　ハーフ可)",19000,1,0.5,箱,9500,10450,1000,"12/18発送完了",2026年03月 即納,納品前,即納,備品,明日出荷（土日祝除く）,
887860,107189,発送完了,2024-12-17,2024-12-10 22:00,"【フォロー】achieve（アミューズ）","スポガ久留米 卓球ゲームコーナー",【フォロー】株式会社change（旧achieve）,KH012,"ソーセージリップモンスターヘアブラシ2[塩ビケース+デメリットシール][本体サイズ：W55×D50×H145mm]",215,240,0.5,箱,25800,28380,1000,"12/17発送完了",2025年07月 完売,納品前,小型機用,ラクチャレW景品（上部）,送料無料（ハーフ別途料金）北海道・沖縄・離島除く,
887857,107189,発送完了,2024-12-11,2024-12-10 22:00,"【フォロー】achieve（アミューズ）","スポガ久留米 卓球ゲームコーナー",【フォロー】株式会社change（旧achieve）,,"ドラえもんシェイクマスコット[PP袋][商品サイズ5.5*3.5*3.6cm]",155,288,0.5,箱,22320,24552,1000,"12/11発送完了",2024年11月 終売,納品前,即納,小型機用,ラクチャレキュート景品,送料無料（ハーフ別途料金）北海道・沖縄・離島除く,
887821,107189,発送完了,未設定,2024-12-10 22:00,"【フォロー】achieve（アミューズ）","スポガ久留米 卓球ゲームコーナー",【フォロー】株式会社change（旧achieve）,JH366,"ﾋﾟｸｾﾙ風ｻﾝｸﾞﾗｽ15.5cm ",65,480,0.5,箱,15600,17160,800,"12/11出荷完了",2024年07月 末,納品前,オススメ商品,SNS・流行り物,
883550,107189,発送完了,2024-12-12,2024-12-10 22:00,"【フォロー】achieve（アミューズ）","スポガ久留米 卓球ゲームコーナー",【フォロー】株式会社change（旧achieve）,KI767,"星のカービィコロぐるみ[PP袋][商品サイズ８*１２*９cm]",825,90,0.5,箱,37125,40838,1000,"12/12発送完了",2025年12月 下旬,納品前,小型機用,ラクチャレW景品（上部）,送料無料（ハーフ別途料金）北海道・沖縄・離島除く,
882824,107131,発送完了,2024-12-09,2024-12-06 14:42,"【フォロー】achieve（アミューズ）","スポガ久留米 卓球ゲームコーナー",【フォロー】株式会社change（旧achieve）,IZ216,"蓄光プロペラ！レッツゴーあひるちゃん　【商品サイズ】パッケージ：約W7×H12.5×D5cm",160,288,0.5,箱,23040,25344,1000,"12/9発送完了",2024年08月 中旬,納品前,大型機用,送料無料（ハーフ別途料金）北海道・沖縄・離島除く,
879395,106802,発送完了,2024-12-16,2024-12-05 00:18,"【フォロー】achieve（アミューズ）","スポガ久留米 卓球ゲームコーナー",【フォロー】株式会社change（旧achieve）,KF479,"スーパーマリオちびリュック3【商品サイズ　H11.5×W12×D3cm】【PKG　PP】",530,100,1,箱,53000,58300,0,"12月16日出荷　12月18日着",2024年12月 中旬予定,納品前,小型機用,送料無料（ハーフ別途料金）北海道・沖縄・離島除く,
877620,106802,発送完了,2024-12-05,2024-12-05 00:18,"【フォロー】achieve（アミューズ）","スポガ久留米 卓球ゲームコーナー",【フォロー】株式会社change（旧achieve）,JW420,"スヌーピー　コンパクトファスナーウォレット４　商品サイズ12×8.7×3cm　カラーBOX入り",690,72,0.5,箱,24840,27324,0,"12/5発送完了",2024年09月 上旬,納品前,即納,小型機用,ラクチャレW景品（上部）,ラクチャレW景品（下部）,箱物系,送料無料（ハーフ別途料金）北海道・沖縄・離島除く,
877613,106802,発送完了,2024-12-06,2024-12-05 00:18,"【フォロー】achieve（アミューズ）","スポガ久留米 卓球ゲームコーナー",【フォロー】株式会社change（旧achieve）,HH443,"お菓子ソックスランダムアソート[紙ヘッダー][商品サイズ22～24cm]",220,216,1,箱,47520,52272,0,"12/6発送完了",2026年03月 上旬,納品前,小型機用,ラクチャレW景品（下部）,送料無料（ハーフ別途料金）北海道・沖縄・離島除く,
863999,105088,発送完了,未設定,2024-11-16 09:45,"【フォロー】achieve（アミューズ）","スポガ久留米 卓球ゲームコーナー",【フォロー】株式会社change（旧achieve）,KG332,"完全ワイヤレスイヤホンRevolution11 96入＠490(ハーフ/クォーター+1000円)【サイズ:約6.5x3x6.5cm カラーパッケージ入】[KA550からコピー]",47000,1,1,箱,47000,51700,0,"12/12発送完了",2024年12月 即納,納品前,小型機用,電子商品,クォーター,ラクチャレW景品（下部）,送料無料（ハーフ別途料金）北海道・沖縄・離島除く,
864000,105088,発送完了,未設定,2024-11-16 09:45,"【フォロー】achieve（アミューズ）","スポガ久留米 卓球ゲームコーナー",【フォロー】株式会社change（旧achieve）,KG367,"モノトーンワイヤレスイヤホン　【商品サイズ】H15×W7.6×D2.7cm",490,96,1,箱,47040,51744,0,"12/2発送完了
",2024年11月 即納,納品前,
864001,105088,発送完了,未設定,2024-11-16 09:45,"【フォロー】achieve（アミューズ）","スポガ久留米 卓球ゲームコーナー",【フォロー】株式会社change（旧achieve）,KA551," 完全ワイヤレスイヤホンRevolution12 96入＠490(ハーフ/クォーター+1000円)【サイズ:約6.5x3x6.5cm カラーパッケージ入】",47000,1,1,箱,47000,51700,0,"12/4発送完了",2024年12月 上旬,納品前,小型機用,電子商品,クォーター,ラクチャレW景品（下部）,送料無料（ハーフ別途料金）北海道・沖縄・離島除く,
864002,105088,発送完了,未設定,2024-11-16 09:45,"【フォロー】achieve（アミューズ）","スポガ久留米 卓球ゲームコーナー",【フォロー】株式会社change（旧achieve）,KF881,"Pro6カラフルワイヤレスイヤホン　【商品サイズ】H6×W6×D5cm",450,120,1,箱,54000,59400,0,"12/17発送完了",2024年12月 中旬,納品前,小型機用,電子商品,ラクチャレW景品（下部）,箱物系,送料無料（ハーフ別途料金）北海道・沖縄・離島除く,
844987,103380,発送完了,未設定,2024-11-02 15:06,"【フォロー】achieve（アミューズ）","MEGAドン・キホーテ飯塚店内ゲームコーナー",【フォロー】株式会社change（旧achieve）,KA503,"CO090ぷちりっぷもんすた～ブルブルMC",200,264,0.25,箱,13200,14520,1000,"発注受付
12/2出荷",2025年06月 末,納品前,即納,ぬいぐるみ,クォーター,
844992,103380,発送完了,未設定,2024-11-02 15:06,"【フォロー】achieve（アミューズ）","MEGAドン・キホーテ飯塚店内ゲームコーナー",【フォロー】株式会社change（旧achieve）,JZ549,"アニマルしっぽKH　【商品サイズ】H16×W3.5cm",100,480,0.5,箱,24000,26400,1000,"12/2発送完了",2024年12月 上旬~中旬,納品前,小型機用,ラクチャレW景品（上部）,送料無料（ハーフ別途料金）北海道・沖縄・離島除く,
838297,102811,発送完了,未設定,2024-10-25 21:21,"【フォロー】achieve（アミューズ）","スポガ久留米 卓球ゲームコーナー",【フォロー】株式会社change（旧achieve）,KB974," なんちゃって うそ発見器 ！？ 240入＠219(ハーフ/クォーター+1000円)【箱サイズ:約6x3.5x4cm カラーパッケージ入】",52500,1,1,箱,52500,57750,0,"12/6発送完了",2025年06月 即納,納品前,即納,小型機用,電子商品,クォーター,ラクチャレキュート景品,箱物系,送料無料（ハーフ別途料金）北海道・沖縄・離島除く,
829720,101758,発送完了,未設定,2024-10-19 17:55,"【フォロー】achieve（アミューズ）","スポガ久留米 卓球ゲームコーナー",【フォロー】株式会社change（旧achieve）,JX846,"2812ワイヤレスカラオケマイク",550,96,0.5,箱,26400,29040,1000,"発注受付
12/18出荷",2025年04月 中~下,納品前,電子商品,箱物系,
829561,101533,発送完了,2024-10-15,2024-10-14 17:31,"【フォロー】achieve（アミューズ）","スポガ久留米 卓球ゲームコーナー",【フォロー】株式会社change（旧achieve）,JJ183,"即納 アミューズ不可　奇譚クラブ　mofusand えびにゃんフィギュアキーホルダー　400円",240,30,1,袋,7200,7920,0,"発注受付
よ￥同梱",2024年10月 ,納品前,ガチャ景品,超即納（おもちゃ）,超即納（ガチャ）,
829563,101533,発送完了,2024-10-15,2024-10-14 17:31,"【フォロー】achieve（アミューズ）","スポガ久留米 卓球ゲームコーナー",【フォロー】株式会社change（旧achieve）,JI444,"即納　バンダイ　アミューズ不可　めがねさんのめじるしアクセサリー　300円",180,40,1,袋,7200,7920,540,"よ￥",2024年11月 ,納品前,ガチャ景品,超即納（おもちゃ）,超即納（ガチャ）,
829555,101533,発送完了,2024-10-15,2024-10-14 17:31,"【フォロー】achieve（アミューズ）","スポガ久留米 卓球ゲームコーナー",【フォロー】株式会社change（旧achieve）,JJ933,"即納 アミューズ不可　バンダイ　Ｌｉｐｔｏｎ　ミニチュアチャームコレクション　300円",180,40,1,袋,7200,7920,0,"発注受付
よ￥同梱",2026年03月 ,納品前,ガチャ景品,超即納（おもちゃ）,超即納（ガチャ）,
