整理ID,カート番号,発送,出荷日,発注日時,発注者,発送先,請求先,商品コード,商品名,単価(税別),入数,受注数,単位,合計金額(税別),合計金額(税込),送料(税別),発送状況,納期,発注者確認,カテゴリー
1126540,132229,発送完了,未設定,2025-07-20 19:19,"【フォロー】achieve（アミューズ）","スポガ久留米 卓球ゲームコーナー",【フォロー】株式会社change（旧achieve）,RG863,"  ゆらぷか～韓国風ドリンク～ 360入＠135(ハーフ/クォーター+1000円)【サイズ:MAX5cm 個別ジッパー袋入】",48700,1,0.5,箱,24350,26785,1000,"7/22発送完了",2025年11月 即納,納品前,即納,小型機用,クォーター,ラクチャレキュート景品,送料無料（ハーフ別途料金）北海道・沖縄・離島除く,10円キャッチャー,明日出荷（土日祝除く）,
1126533,132229,発送完了,未設定,2025-07-20 19:19,"【フォロー】achieve（アミューズ）","スポガ久留米 卓球ゲームコーナー",【フォロー】株式会社change（旧achieve）,RR393,"  ファンシー☆シャカシャカスイーツBC～韓国Ver.～ 480入@110(ハーフ/クォーター+1000円) 【商品サイズ:約3.5x2x5.5cm 個別OPP袋入】",53000,1,0.5,箱,26500,29150,1000,"7/22発送完了",2025年11月 即納,納品前,即納,小型機用,クォーター,ラクチャレキュート景品,送料無料（ハーフ別途料金）北海道・沖縄・離島除く,低額キャッチャー景品,10円キャッチャー,明日出荷（土日祝除く）,
1125174,132086,発送完了,2025-07-15,2025-07-15 13:01,"【フォロー】achieve（アミューズ）","島添勝也",【フォロー】株式会社change（旧achieve）,RY413,"パール＆グリッタービーズブレスレット",44,604,0.5,個,13288,14617,1000,"18着予定",2026年01月 即納　 　 　 　 　 　 　 　 　 　 　 　 　 　 　 　 　 　 　 　 　 　 　 　 　 　 　 　 　 　 　 　 　 　 　 　 　 　 　 　 　 　 　 　 　 　 　 　 　 　 ,納品前,オススメ商品,即納,小型機用,送料無料（ハーフ別途料金）北海道・沖縄・離島除く,低額キャッチャー景品,10円キャッチャー,
1125165,132086,発送完了,未設定,2025-07-15 13:01,"【フォロー】achieve（アミューズ）","島添勝也",【フォロー】株式会社change（旧achieve）,RR533,"  携帯ゲーム機 GAME Ark S mini4 96入＠620(ハーフ/クォーター+1000円)【箱サイズ:約9.7cm カラーパッケージ入】",59480,1,0.5,箱,29740,32714,1000,"7/16発送完了",2025年12月 即納,納品前,即納,小型機用,電子商品,クォーター,ラクチャレW景品（下部）,箱物系,送料無料（ハーフ別途料金）北海道・沖縄・離島除く,明日出荷（土日祝除く）,
1120484,131511,発送完了,未設定,2025-07-10 11:41,"【フォロー】achieve（アミューズ）","スポガ久留米 卓球ゲームコーナー",【フォロー】株式会社change（旧achieve）,RC988,"ぶるぶる電ブルBC  Cute3 180入 @222(ハーフ/クォーター+1000円)【箱サイズ:3x3x11cm カラーパッケージ入】",40000,1,1,箱,40000,44000,0,"7/11発送完了",2026年03月 即納,納品前,即納,電子商品,クォーター,ラクチャレW景品（下部）,箱物系,送料無料（ハーフ別途料金）北海道・沖縄・離島除く,明日出荷（土日祝除く）,
1120022,131454,発送完了,未設定,2025-07-09 16:32,"【フォロー】achieve（アミューズ）","スポガ久留米 卓球ゲームコーナー",【フォロー】株式会社change（旧achieve）,SG712,"ダイヤカットクリアストーンα ピンク10kg(送料+1000円 ハーフ不可)",9000,1,1,箱,9000,9900,1000,"7/10発送完了",2026年03月 即納,納品前,即納,備品,明日出荷（土日祝除く）,
1120017,131454,発送完了,未設定,2025-07-09 16:32,"【フォロー】achieve（アミューズ）","スポガ久留米 卓球ゲームコーナー",【フォロー】株式会社change（旧achieve）,KR714,"ダイヤカットクリアストーン クリア10kg(送料+1000円 ハーフ不可)",9000,1,1,箱,9000,9900,1000,"7/10発送完了",2026年03月 即納,納品前,即納,備品,明日出荷（土日祝除く）,
1119364,131388,発送完了,未設定,2025-07-09 03:08,"【フォロー】achieve（アミューズ）","MEGAドン・キホーテ飯塚店内ゲームコーナー",【フォロー】株式会社change（旧achieve）,RZ993,"65ﾊﾟｲはいります　AIﾓﾝｽﾀｰ立体ﾗﾊﾞｰ",100,360,0.5,箱,18000,19800,0,"発注受付
7/11出荷",2025年06月 中旬,納品前,SNS・流行り物,
1119363,131387,発送完了,未設定,2025-07-09 03:07,"【フォロー】achieve（アミューズ）","スポガ久留米 卓球ゲームコーナー",【フォロー】株式会社change（旧achieve）,RZ993,"65ﾊﾟｲはいります　AIﾓﾝｽﾀｰ立体ﾗﾊﾞｰ",100,360,0.5,箱,18000,19800,0,"発注受付
7/11出荷",2025年06月 中旬,納品前,SNS・流行り物,
1119337,131376,発送完了,未設定,2025-07-08 23:25,"【フォロー】achieve（アミューズ）","スポガ久留米 卓球ゲームコーナー",【フォロー】株式会社change（旧achieve）,SB317,"光るピカピカカラフルメガネ　【商品サイズ】W14.7×H5.4×D2.1cm",80,384,1,箱,30720,33792,0,"7/9発送完了",2025年07月 即納,納品前,小型機用,ラクチャレW景品（上部）,送料無料（ハーフ別途料金）北海道・沖縄・離島除く,低額キャッチャー景品,10円キャッチャー,
1099585,130097,発送完了,未設定,2025-06-30 14:26,"【フォロー】achieve（アミューズ）","スポガ久留米 卓球ゲームコーナー",【フォロー】株式会社change（旧achieve）,RZ990,"AIﾓﾝｽﾀｰぬいぐるみ22㎝～37㎝（木８０残り4種20ずつ）",450,160,1,箱,72000,79200,0,"7/22出荷完了
発注受付",2025年06月 中旬,納品前,オススメ商品,SNS・流行り物,
1099577,130094,発送完了,未設定,2025-06-30 11:42,"【フォロー】achieve（アミューズ）","島添勝也",【フォロー】株式会社change（旧achieve）,RZ992,"AIモンスターズﾊｲｸｵﾘﾃｨﾌｨｷﾞｭｱKHストラップ付5.7×8㎝",180,270,4,箱,194400,213840,0,"7/22出荷完了
",2025年06月 中旬,納品前,オススメ商品,SNS・流行り物,
1099575,130093,発送完了,未設定,2025-06-30 11:41,"【フォロー】achieve（アミューズ）","MEGAドン・キホーテ飯塚店内ゲームコーナー",【フォロー】株式会社change（旧achieve）,RZ992,"AIモンスターズﾊｲｸｵﾘﾃｨﾌｨｷﾞｭｱKHストラップ付5.7×8㎝",180,270,2,箱,97200,106920,0,"7/23出荷完了",2025年06月 中旬,納品前,オススメ商品,SNS・流行り物,
1099572,130092,発送完了,未設定,2025-06-30 11:40,"【フォロー】achieve（アミューズ）","スポガ久留米 卓球ゲームコーナー",【フォロー】株式会社change（旧achieve）,RZ992,"AIモンスターズﾊｲｸｵﾘﾃｨﾌｨｷﾞｭｱKHストラップ付5.7×8㎝",180,270,8,箱,388800,427680,0,"7/23出荷完了",2025年06月 中旬,納品前,オススメ商品,SNS・流行り物,
1083709,128157,発送完了,2025-07-02,2025-06-11 23:19,"【フォロー】achieve（アミューズ）","スポガ久留米 卓球ゲームコーナー",【フォロー】株式会社change（旧achieve）,FJ550,"蒲焼さん太郎六角BOX(S)3種　【パッケージBOX　サイズ：約13.5*7*6ｃｍ】発注から発送2週間～　受注後約14日～",169,192,0.5,箱,16224,17522,0,"7/2発送完了
J4605183
6/24 納期遅延連絡済み
7月伝票変更
納期変更前：6/下
納期変更後：7/1",2026年02月 上旬,納品前,お菓子,
1068182,127084,発送完了,2025-07-02,2025-06-02 15:36,"【フォロー】achieve（アミューズ）","スポガ久留米 卓球ゲームコーナー",【フォロー】株式会社change（旧achieve）,KW455,"モンチッチフェイスヘアクリップ4種[紙台紙＋OPP袋][商品サイズ110x120x40mm]",400,96,0.5,箱,19200,21120,1500,"7/2発送完了",2025年09月 中下旬発送予定,納品前,小型機用,ラクチャレキュート景品,ラクチャレW景品（下部）,送料無料（ハーフ別途料金）北海道・沖縄・離島除く,
1068183,127084,発送完了,2025-07-02,2025-06-02 15:36,"【フォロー】achieve（アミューズ）","スポガ久留米 卓球ゲームコーナー",【フォロー】株式会社change（旧achieve）,KW458,"モンチッチドデカパッチン4種[紙台紙＋OPP袋][商品サイズ170x140x40mm]",455,96,1,箱,43680,48048,0,"7/2発送完了",2025年07月 終売,納品前,小型機用,ラクチャレW景品（下部）,送料無料（ハーフ別途料金）北海道・沖縄・離島除く,
