整理ID,カート番号,発送,出荷日,発注日時,発注者,発送先,請求先,商品コード,商品名,単価(税別),入数,受注数,単位,合計金額(税別),合計金額(税込),送料(税別),発送状況,納期,発注者確認,カテゴリー
1223745,141770,発送完了,未設定,2025-09-23 15:16,"【フォロー】achieve（アミューズ）","スポガ久留米 卓球ゲームコーナー",【フォロー】株式会社change（旧achieve）,SK634,"AIﾓﾝｽﾀｰぬいぐるみﾏｽｺｯﾄ20㎝",220,240,1,箱,52800,58080,0,"発注受付
9/26出荷",2025年08月 上,納品前,オススメ商品,SNS・流行り物,
1216197,140354,発送完了,未設定,2025-09-17 14:44,"【フォロー】achieve（アミューズ）","スポガ久留米 卓球ゲームコーナー",【フォロー】株式会社change（旧achieve）,SG712,"ダイヤカットクリアストーンα ピンク10kg(送料+1000円 ハーフ不可)",9000,1,1,箱,9000,9900,1000,"9/18発送完了",2026年03月 即納,納品前,即納,備品,明日出荷（土日祝除く）,
1216195,140354,発送完了,未設定,2025-09-17 14:44,"【フォロー】achieve（アミューズ）","スポガ久留米 卓球ゲームコーナー",【フォロー】株式会社change（旧achieve）,KR714,"ダイヤカットクリアストーン クリア10kg(送料+1000円 ハーフ不可)",9000,1,1,箱,9000,9900,1000,"9/18発送完了",2026年03月 即納,納品前,即納,備品,明日出荷（土日祝除く）,
1216194,140354,発送完了,未設定,2025-09-17 14:44,"【フォロー】achieve（アミューズ）","スポガ久留米 卓球ゲームコーナー",【フォロー】株式会社change（旧achieve）,JS249,"ダイヤカットクリアストーン グリーン10kg(送料+1000円 ハーフ不可)",9000,1,1,箱,9000,9900,1000,"9/18発送完了",2026年03月 即納,納品前,即納,備品,明日出荷（土日祝除く）,
1209844,140092,発送完了,2025-09-18,2025-09-11 22:34,"【フォロー】achieve（アミューズ）","MEGAドン・キホーテ飯塚店内ゲームコーナー",【フォロー】株式会社change（旧achieve）,JX690,"【価格改定】湖池屋ポテトチップス5個パック2種【商品サイズ：20×21×16cm】",360,72,1,箱,25920,27994,0,"発注受付",2026年03月 受注後約1週間,納品前,オススメ商品,即納,お菓子,送料無料（ハーフ別途料金）北海道・沖縄・離島除く,台湾キャッチャー,
1209843,140092,発送完了,2025-09-16,2025-09-11 22:34,"【フォロー】achieve（アミューズ）","MEGAドン・キホーテ飯塚店内ゲームコーナー",【フォロー】株式会社change（旧achieve）,SV956,"忍者めしミニチュアポット2種 【ミニポット入り】【ミニポットサイズ：約H11*W7×D7cm】",360,120,1,箱,43200,46656,0,"商品発送9/16
納品予定9/18",2025年09月 中旬,納品前,お菓子,送料無料（ハーフ別途料金）北海道・沖縄・離島除く,台湾キャッチャー,
1209842,140092,発送完了,2025-09-16,2025-09-11 22:34,"【フォロー】achieve（アミューズ）","MEGAドン・キホーテ飯塚店内ゲームコーナー",【フォロー】株式会社change（旧achieve）,UB253,"マルちゃん正麺カップ4種アソート【商品サイズ　H7.7×W18×D18cm】【賞味期限　製造から180日】",270,192,0.5,箱,25920,27994,0,"9月16日出荷　9月18日着",2025年09月 受注後1週間,納品前,送料無料（ハーフ別途料金）北海道・沖縄・離島除く,食品,台湾キャッチャー,
1208285,139960,発送完了,2025-09-11,2025-09-10 19:59,"【フォロー】achieve（アミューズ）","スポガ久留米 卓球ゲームコーナー",【フォロー】株式会社change（旧achieve）,RC777,"熱血! 匠のﾊﾞﾁ 5【パッケージBOX　サイズ：約39.5*14.5*3.5ｃｍ】熱血！　匠のバチ　５",850,64,0.5,箱,27200,29920,0,"9/11発送完了
J5905551",2026年01月 ,納品前,即納,明日出荷（土日祝除く）,
1208284,139959,発送完了,2025-09-11,2025-09-10 19:46,"【フォロー】achieve（アミューズ）","スポガ久留米 卓球ゲームコーナー",【フォロー】株式会社change（旧achieve）,RC821,"ﾜｲﾔﾚｽBIGｶﾗｵｹﾏｲｸ【パッケージBOX　サイズ：約22.5*12*12ｃｍ】※通常送料＋別途送料 （発注数×4000円）ワイヤレスＢＩＧカラオケマイク",1000,48,0.5,箱,24000,26400,2000,"9/11発送完了
J5905549",2025年10月 上旬,納品前,即納,電子商品,明日出荷（土日祝除く）,
1208283,139959,発送完了,2025-09-11,2025-09-10 19:46,"【フォロー】achieve（アミューズ）","スポガ久留米 卓球ゲームコーナー",【フォロー】株式会社change（旧achieve）,RC829,"ﾃﾞﾋﾞﾙ ﾜｲﾔﾚｽﾍｯﾄﾞﾌｫﾝ 2【パッケージBOX　サイズ：約24*18*7ｃｍ】※通常送料＋別途送料 （発注数×3000円）デビル　ワイヤレスヘッドフォン　２",1000,48,0.5,箱,24000,26400,1500,"9/11発送完了
J5905547",2025年10月 上旬,納品前,即納,電子商品,明日出荷（土日祝除く）,
1199241,139244,発送完了,2025-09-09,2025-09-07 00:23,"【フォロー】achieve（アミューズ）","スポガ久留米 卓球ゲームコーナー",【フォロー】株式会社change（旧achieve）,SU437,"サンリオ ミニポシェット立体アップリケ刺繍　　約16*21.5*3㎝",889,30,1,箱,26670,29337,0,"発注受付",2025年08月 即納です,納品前,オススメ商品,即納,明日出荷（土日祝除く）,
1198738,139152,発送完了,未設定,2025-09-06 21:32,"【フォロー】achieve（アミューズ）","スポガ久留米 卓球ゲームコーナー",【フォロー】株式会社change（旧achieve）,JS246,"ダイヤカットクリアストーン ブルー10kg(送料+1000円 ハーフ不可)",9000,1,1,箱,9000,9900,1000,"9/8発送完了",2026年03月 即納,納品前,即納,備品,明日出荷（土日祝除く）,
1192382,138881,発送完了,2025-09-05,2025-09-04 20:34,"【フォロー】achieve（アミューズ）","スポガ久留米 卓球ゲームコーナー",【フォロー】株式会社change（旧achieve）,SW650,"ハイグレードゴールドメタルスピナー【商品サイズ：約7cm】",140,288,1,箱,40320,44352,0,"発注受付",2026年03月 即納,納品前,即納,小型機用,ラクチャレキュート景品,送料無料（ハーフ別途料金）北海道・沖縄・離島除く,明日出荷（土日祝除く）,
1192381,138881,発送完了,2025-09-09,2025-09-04 20:34,"【フォロー】achieve（アミューズ）","スポガ久留米 卓球ゲームコーナー",【フォロー】株式会社change（旧achieve）,HH443,"お菓子ソックスランダムアソート[紙ヘッダー][商品サイズ22～24cm]",220,216,1,箱,47520,52272,0,"9/9発送完了",2026年03月 上旬,納品前,小型機用,ラクチャレW景品（下部）,送料無料（ハーフ別途料金）北海道・沖縄・離島除く,
1190034,138881,発送完了,未設定,2025-09-04 20:34,"【フォロー】achieve（アミューズ）","スポガ久留米 卓球ゲームコーナー",【フォロー】株式会社change（旧achieve）,SG579,"  光る！麻雀牌 ～ＳＰ～  448入(ハーフ/クォーター+1000円)【パッケージサイズ:約3.3x2.8x4.4cm PP袋入】",43400,1,0.5,箱,21700,23870,1000,"9/5発送完了",2026年01月 即納,納品前,即納,小型機用,電子商品,ラクチャレキュート景品,送料無料（ハーフ別途料金）北海道・沖縄・離島除く,10円キャッチャー,明日出荷（土日祝除く）,
1190036,138881,発送完了,未設定,2025-09-04 20:34,"【フォロー】achieve（アミューズ）","スポガ久留米 卓球ゲームコーナー",【フォロー】株式会社change（旧achieve）,JX225,"スロットマシンmini 6colors 432入＠141(ハーフ/クォーター+1000円)【サイズ:約5.5cm 個別PP袋入】",61000,1,0.5,箱,30500,33550,1000,"9/5発送完了",2025年09月 即納,納品前,即納,小型機用,クォーター,ラクチャレキュート景品,送料無料（ハーフ別途料金）北海道・沖縄・離島除く,明日出荷（土日祝除く）,
1188242,138758,発送完了,未設定,2025-09-03 11:37,"【フォロー】achieve（アミューズ）","スポガ久留米 卓球ゲームコーナー",【フォロー】株式会社change（旧achieve）,JS249,"ダイヤカットクリアストーン グリーン10kg(送料+1000円 ハーフ不可)",9000,1,1,箱,9000,9900,1000,"9/4発送完了",2026年03月 即納,納品前,即納,備品,明日出荷（土日祝除く）,
1188243,138758,発送完了,未設定,2025-09-03 11:37,"【フォロー】achieve（アミューズ）","スポガ久留米 卓球ゲームコーナー",【フォロー】株式会社change（旧achieve）,KR714,"ダイヤカットクリアストーン クリア10kg(送料+1000円 ハーフ不可)",9000,1,1,箱,9000,9900,1000,"9/4発送完了",2026年03月 即納,納品前,即納,備品,明日出荷（土日祝除く）,
