整理ID,カート番号,発送,出荷日,発注日時,発注者,発送先,請求先,商品コード,商品名,単価(税別),入数,受注数,単位,合計金額(税別),合計金額(税込),送料(税別),発送状況,納期,発注者確認,カテゴリー
800762,98891,発送完了,未設定,2024-09-20 14:27,"【フォロー】achieve（アミューズ）","MEGAドン・キホーテ飯塚店内ゲームコーナー",【フォロー】株式会社change（旧achieve）,JS245,"【価格改定】ダイヤカットクリアストーン クリア10kg(送料+1000円 ハーフ不可)[FR184からコピー]",9000,1,1,箱,9000,9900,1000,"9/24発送完了",2024年09月 即納,納品前,備品,
800758,98891,発送完了,未設定,2024-09-20 14:27,"【フォロー】achieve（アミューズ）","MEGAドン・キホーテ飯塚店内ゲームコーナー",【フォロー】株式会社change（旧achieve）,JS251,"【価格改定】 ダイヤカットクリアストーン パープル10kg(送料+1000円 ハーフ不可)",9000,1,1,箱,9000,9900,1000,"9/24発送完了",2025年06月 即納,納品前,即納,備品,
799777,98660,発送完了,未設定,2024-09-18 22:05,"【フォロー】achieve（アミューズ）","MEGAドン・キホーテ飯塚店内ゲームコーナー",【フォロー】株式会社change（旧achieve）,JH366,"ﾋﾟｸｾﾙ風ｻﾝｸﾞﾗｽ15.5cm ",65,480,0.5,箱,15600,17160,800,"9/24出荷",2024年07月 末,納品前,オススメ商品,SNS・流行り物,
798644,98537,発送完了,未設定,2024-09-17 15:50,"【フォロー】achieve（アミューズ）","スポガ久留米 卓球ゲームコーナー",【フォロー】株式会社change（旧achieve）,JR123,"GUMMY TZEL IN KOREA",275,240,1,箱,66000,71280,0,"9/30出荷完了
発注受付",2024年09月 上旬,納品前,オススメ商品,お菓子,SNS・流行り物,
798635,98532,発送完了,未設定,2024-09-17 15:46,"【フォロー】achieve（アミューズ）","MEGAドン・キホーテ飯塚店内ゲームコーナー",【フォロー】株式会社change（旧achieve）,JR123,"GUMMY TZEL IN KOREA",275,240,1,箱,66000,71280,0,"9/30出荷完了
発注受付",2024年09月 上旬,納品前,オススメ商品,お菓子,SNS・流行り物,
792677,97640,発送完了,未設定,2024-09-09 18:50,"【フォロー】achieve（アミューズ）","スポガ久留米 卓球ゲームコーナー",【フォロー】株式会社change（旧achieve）,JA958,"PPT４０㎝ぬいぐるみ８種ラメ",450,96,2,箱,86400,95040,0,"9/10　96個出荷
9/24　96個出荷",2024年06月 即納,納品前,オススメ商品,SNS・流行り物,
792673,97640,発送完了,未設定,2024-09-09 18:50,"【フォロー】achieve（アミューズ）","スポガ久留米 卓球ゲームコーナー",【フォロー】株式会社change（旧achieve）,JB036,"サンリオ寝そべりマスコットエンジェルベイビー【全長約8㎝】",520,100,0.5,箱,26000,28600,1000,"9/10発送完了",2024年07月 下旬,納品前,即納,ラクチャレキュート景品,送料無料（ハーフ別途料金）北海道・沖縄・離島除く,
792615,97638,発送完了,2024-09-18,2024-09-09 18:19,"【フォロー】achieve（アミューズ）","MEGAドン・キホーテ飯塚店内ゲームコーナー",【フォロー】株式会社change（旧achieve）,IY103,"ヒューマンフォールフラット４０ｃｍぬいぐるみ【商品サイズ:約40㎝】☆",1000,48,0.5,箱,24000,26400,1000,"発注受付",2024年09月 中～下旬,納品前,大型機用,ぬいぐるみ,送料無料（ハーフ別途料金）北海道・沖縄・離島除く,
792568,97634,発送完了,未設定,2024-09-09 18:07,"【フォロー】achieve（アミューズ）","スポガ久留米 卓球ゲームコーナー",【フォロー】株式会社change（旧achieve）,JB550,"ぷちりっぷミラー&コーム",178,288,0.5,箱,25632,28195,1000,"発注受付
9/27出荷",2025年03月 中~下,納品前,即納,小型機用,SNS・流行り物,
792606,97634,発送完了,2024-09-10,2024-09-09 18:07,"【フォロー】achieve（アミューズ）","スポガ久留米 卓球ゲームコーナー",【フォロー】株式会社change（旧achieve）,JF166,"スヌーピー小銭入れ付きミニ財布　【商品サイズ】約W10×H8×厚み3cm",760,72,0.5,箱,27360,30096,1000,"9/10発送完了",2024年07月 中旬,納品前,即納,大型機用,ラクチャレW景品（上部）,ラクチャレW景品（下部）,送料無料（ハーフ別途料金）北海道・沖縄・離島除く,
792575,97634,発送完了,2024-09-10,2024-09-09 18:07,"【フォロー】achieve（アミューズ）","スポガ久留米 卓球ゲームコーナー",【フォロー】株式会社change（旧achieve）,JB692,"どでかリバーシ【パッケージサイズ：W36×D5×H25cm】【2個口】★",927,48,0.5,箱,22248,24473,1000,"発注受付",2024年07月 下旬,納品前,即納,大型機用,箱物系,送料無料（ハーフ別途料金）北海道・沖縄・離島除く,
792566,97634,発送完了,2024-09-11,2024-09-09 18:07,"【フォロー】achieve（アミューズ）","スポガ久留米 卓球ゲームコーナー",【フォロー】株式会社change（旧achieve）,,"ぷるぷる!ねこプリンマスコット 全3種 全長約8.9cm",298,144,1,箱,42912,47203,0,"発送完了",2024年09月 下旬,納品前,オススメ商品,即納,SNS・流行り物,
791847,97551,発送完了,2024-09-09,2024-09-09 10:39,"【フォロー】achieve（アミューズ）","スポガ久留米 卓球ゲームコーナー",【フォロー】株式会社change（旧achieve）,JV533,"信号機BC[PP袋][商品サイズ５～７cm]",190,240,1,箱,45600,50160,0,"9/9確認いたしました
9/9誤発送分買取の為購入処理
前整理ID741227",2024年09月 上旬,納品前,送料無料（ハーフ別途料金）北海道・沖縄・離島除く,
