整理ID,カート番号,発送,出荷日,発注日時,発注者,発送先,請求先,商品コード,商品名,単価(税別),入数,受注数,単位,合計金額(税別),合計金額(税込),送料(税別),発送状況,納期,発注者確認,カテゴリー

発注数,0,
入数,0,
商品件数,0,件
商品合計(税別),0,円
送料合計(税別),0,円
総合計(税込),0,円
