整理ID,カート番号,発送,出荷日,発注日時,発注者,発送先,請求先,商品コード,商品名,単価(税別),入数,受注数,単位,合計金額(税別),合計金額(税込),送料(税別),発送状況,納期,発注者確認,カテゴリー
1023379,122581,発送完了,2025-04-23,2025-04-22 19:04,"【フォロー】achieve（アミューズ）","MEGAドン・キホーテ飯塚店内ゲームコーナー",【フォロー】株式会社change（旧achieve）,RS522,"モンチッチマスコット付ゲルペン[PP袋無][商品サイズ15cm]",145,320,0.5,箱,23200,25520,1500,"4/23発送完了",2025年04月 終売,納品前,小型機用,ラクチャレW景品（下部）,送料無料（ハーフ別途料金）北海道・沖縄・離島除く,
1023378,122580,発送完了,2025-04-23,2025-04-22 19:03,"【フォロー】achieve（アミューズ）","スポガ久留米 卓球ゲームコーナー",【フォロー】株式会社change（旧achieve）,RS522,"モンチッチマスコット付ゲルペン[PP袋無][商品サイズ15cm]",145,320,0.5,箱,23200,25520,1500,"4/23発送完了",2025年04月 終売,納品前,小型機用,ラクチャレW景品（下部）,送料無料（ハーフ別途料金）北海道・沖縄・離島除く,
1020630,122151,発送完了,2025-04-23,2025-04-19 13:56,"【フォロー】achieve（アミューズ）","MEGAドン・キホーテ飯塚店内ゲームコーナー",【フォロー】株式会社change（旧achieve）,RJ653,"★即納出ました！！★マシュマロロリポップ　ミャクミャク　賞味期限：2026年12月",335,144,0.5,個,24120,26050,0,"25着予定",2025年09月 即納　 　 　 　 　 　 　 　 　 ,納品前,オススメ商品,お菓子,送料無料（ハーフ別途料金）北海道・沖縄・離島除く,SNS・流行り物,
1020564,122139,発送完了,2025-04-23,2025-04-19 13:55,"【フォロー】achieve（アミューズ）","スポガ久留米 卓球ゲームコーナー",【フォロー】株式会社change（旧achieve）,RJ653,"★即納出ました！！★マシュマロロリポップ　ミャクミャク　賞味期限：2026年12月",335,144,0.5,個,24120,26050,0,"25着予定",2025年09月 即納　 　 　 　 　 　 　 　 　 ,納品前,オススメ商品,お菓子,送料無料（ハーフ別途料金）北海道・沖縄・離島除く,SNS・流行り物,
1015652,121527,発送完了,未設定,2025-04-14 18:36,"【フォロー】achieve（アミューズ）","MEGAドン・キホーテ飯塚店内ゲームコーナー",【フォロー】株式会社change（旧achieve）,RK669,"SPGｼﾞﾋﾞｯﾂ２０種",28,1200,1,箱,33600,36960,0,"発注受付
4/22出荷",2025年04月 末,納品前,
1015230,121525,発送完了,未設定,2025-04-14 13:54,"【フォロー】achieve（アミューズ）","スポガ久留米 卓球ゲームコーナー",【フォロー】株式会社change（旧achieve）,RK669,"SPGｼﾞﾋﾞｯﾂ２０種",28,1200,1,箱,33600,36960,0,"発注受付
4/22出荷",2025年04月 末,納品前,
1015227,121525,発送完了,未設定,2025-04-14 13:54,"【フォロー】achieve（アミューズ）","スポガ久留米 卓球ゲームコーナー",【フォロー】株式会社change（旧achieve）,KV573,"SPGぬいぐるみ27種２４ｃｍほど",350,162,1,箱,56700,62370,0,"発注受付
4/17出荷",2025年01月 20日入荷,納品前,オススメ商品,ぬいぐるみ,SNS・流行り物,
1013273,121215,発送完了,未設定,2025-04-11 14:45,"【フォロー】achieve（アミューズ）","MEGAドン・キホーテ飯塚店内ゲームコーナー",【フォロー】株式会社change（旧achieve）,RB719,"SPG立体ﾗﾊﾞｰ6.5㎝ほど33種",170,264,2,箱,89760,98736,0,"4/16出荷完了",2025年03月 中旬,納品前,オススメ商品,SNS・流行り物,
1013240,121208,発送完了,未設定,2025-04-11 13:56,"【フォロー】achieve（アミューズ）","スポガ久留米 卓球ゲームコーナー",【フォロー】株式会社change（旧achieve）,RB719,"SPG立体ﾗﾊﾞｰ6.5㎝ほど33種",170,264,2,箱,89760,98736,0,"4/16出荷完了",2025年03月 中旬,納品前,オススメ商品,SNS・流行り物,
1013238,121208,発送完了,未設定,2025-04-11 13:56,"【フォロー】achieve（アミューズ）","スポガ久留米 卓球ゲームコーナー",【フォロー】株式会社change（旧achieve）,RK677,"SPG BIGぬいぐるみ６０㎝",800,60,1,箱,48000,52800,0,"発注受付
4/25出荷",2025年04月 末,納品前,オススメ商品,
1013070,121052,発送完了,未設定,2025-04-11 12:02,"【フォロー】achieve（アミューズ）","島添勝也",【フォロー】株式会社change（旧achieve）,KV573,"SPGぬいぐるみ27種２４ｃｍほど",350,162,0.5,箱,28350,31185,0,"発注受付
4/17出荷",2025年01月 20日入荷,納品前,オススメ商品,ぬいぐるみ,SNS・流行り物,
1013068,121052,発送完了,未設定,2025-04-11 12:02,"【フォロー】achieve（アミューズ）","島添勝也",【フォロー】株式会社change（旧achieve）,RB719,"SPG立体ﾗﾊﾞｰ6.5㎝ほど33種",170,264,1,箱,44880,49368,0,"発注受付
4/23出荷",2025年03月 中旬,納品前,オススメ商品,SNS・流行り物,
995936,119931,発送完了,未設定,2025-04-01 17:20,"【フォロー】achieve（アミューズ）","島添勝也",【フォロー】株式会社change（旧achieve）,JA957,"PPT２０㎝ﾏｽｺｯﾄ９種",300,196,0.5,箱,29400,32340,800,"発注受付
4/11出荷完了",2024年06月 即納,納品前,オススメ商品,SNS・流行り物,
995044,119799,発送完了,未設定,2025-04-01 00:51,"【フォロー】achieve（アミューズ）","スポガ久留米 卓球ゲームコーナー",【フォロー】株式会社change（旧achieve）,HW924,"カラフル　カギ付き手錠　PKサイズ：約13.5×12×1.5㎝　PK：OPP　6種",90,288,1,箱,25920,28512,0,"発注受付
4/2出荷",2023年11月 中旬,納品前,送料無料（ハーフ別途料金）北海道・沖縄・離島除く,
990266,119043,発送完了,2025-04-28,2025-03-27 21:46,"【フォロー】achieve（アミューズ）","スポガ久留米 卓球ゲームコーナー",【フォロー】株式会社change（旧achieve）,RI370,"ジャグラータッチライトスピーカー３【商品サイズ:約φ9.5×H12㎝】☆",1000,60,1,箱,60000,66000,0,"4/28出荷予定",2025年04月 中～下旬,納品前,箱物系,送料無料（ハーフ別途料金）北海道・沖縄・離島除く,
988479,118981,発送完了,2025-04-10,2025-03-25 17:30,"【フォロー】achieve（アミューズ）","MEGAドン・キホーテ飯塚店内ゲームコーナー",【フォロー】株式会社change（旧achieve）,RA627,"ﾏｽｺｯﾄ8㎝　SPG10種",150,240,1,箱,36000,39600,0,"発注受付
4/2 納期遅延連絡済み
4/10出荷完了
4月伝票変更
納期変更前：3月
納期変更後：4月第１週",2025年03月 上,納品前,オススメ商品,SNS・流行り物,
988481,118981,発送完了,2025-04-01,2025-03-25 17:30,"【フォロー】achieve（アミューズ）","MEGAドン・キホーテ飯塚店内ゲームコーナー",【フォロー】株式会社change（旧achieve）,KV573,"SPGぬいぐるみ27種２４ｃｍほど",350,162,1,箱,56700,62370,0,"4/1出荷完了
4/1 納期遅延連絡済み
4月伝票変更
納期変更前：3月
納期変更後：4/1出荷",2025年01月 20日入荷,納品前,オススメ商品,ぬいぐるみ,SNS・流行り物,
